"","bmcat","efscience_identity","efSCIENCE_SELF_EFFICACY","efscicareer","ApproxAge","Female","LGBTQ","ANATENGSP","notfincon","PELL","ASIAN","BLACK","HISPANIC","OTHER","HBCU","MSI","intact1","intact7","affact2","insopn10","insopn19","insopn21","insopn14","cmp08","affact9","insopn92","degree"
"4382","Never",70.79,70.93,5,NA,0,0,2,1,1,0,1,0,0,0,0,"3","5","1","4",3,4,4,6,"1",3,5
"4383","Never",63.52,49.72,3,NA,1,0,2,0,0,1,0,0,0,0,0,"2","5","3","3",3,3,4,5,"1",4,7
"4384","Pushout",53.25,60.72,3,18,0,0,2,1,0,1,0,0,0,0,0,"4","6","2","3",3,3,3,5,"1",3,4
"4385","Never",61.84,53.78,3,19,0,0,2,0,0,0,0,0,0,0,0,"3","6","2","3",3,3,3,5,"1",3,8
"4386","Never",64.66,63.12,4,18,0,0,2,0,0,0,1,0,0,0,0,"5","3","3","3",4,3,4,5,"1",1,7
"4387","Never",55.16,NA,5,18,0,0,2,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"4388","Never",45.4,48.22,4,18,1,0,2,0,0,0,1,0,0,0,0,"2","5","1","3",3,3,3,5,"1",3,7
"4389","Never",52.52,42.95,4,98,1,0,2,0,0,1,0,0,0,0,0,"2",NA,"3","3",1,3,3,5,"2",3,7
"4390","Never",61.82,51.18,2,19,1,0,2,0,0,0,0,0,0,0,0,"4","2","2","4",4,3,4,6,"1",3,4
"4391","Never",48.42,61.55,3,18,1,1,1,1,0,1,0,0,0,0,0,"2","5","2","3",1,3,3,5,"1",3,7
"4392","Never",56.82,35.59,5,18,1,0,2,0,0,0,1,0,0,0,0,"3","6","1","3",3,3,3,4,"1",3,7
"4393","Never",57.66,70.93,5,18,0,0,2,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"4394","Never",56.82,40.87,4,18,1,1,2,0,0,0,0,0,0,0,0,"2","4","2","3",3,3,3,5,"1",2,8
"4395","Never",55.6,48.78,1,19,0,0,2,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
